흥겹,0.6,0.5,기쁨
가혹,-0.53,0.56,슬픔 공포
감탄,0.2,0.7,놀람 기쁨
강압,-0.61,0.53,공포 분노
같잖,-0.75,0.09,혐오 분노
거지같,-0.81,0.56,분노 혐오
곤란,-0.04,0.39,기타 놀람
끔찍,-0.82,0.12,공포 혐오
낯간지럽,0.04,0.28,기타 기쁨
낯설,-0.15,0.21,공포 놀람
냉혹,-0.48,0.46,슬픔 공포
앗,-0.68,0.26,슬픔 분노
떨떠름,-0.21,-0.2,지루 혐오
불쾌,-0.75,0.45,혐오 분노
신기,0.44,0.21,흥미 놀람
싱숭생숭,-0.36,-0.15,슬픔 중성
위축,-0.4,0.32,슬픔 공포
전전긍긍,-0.51,-0.06,슬픔 기타
진저리,-0.75,0.23,혐오 지루
한심,-0.48,0.13,혐오 분노
경이롭,0.65,0.38,놀람
갑갑,-0.15,-0.28,지루함
거북,-0.63,0.08,혐오
격해,-0.65,0.54,분노
경쾌,0.75,0.45,기쁨
괴상,-0.7,0.08,혐오
괴팍,-0.72,0.06,혐오
근사,0.57,0.57,기쁨
근심스럽,-0.48,-0.12,슬픔
기상천외,0.02,0.54,놀람
기이,-0.14,0.48,놀람
기절초풍,-0.03,0.65,놀람
까르르,0.67,0.7,기쁨
깔깔깔깔,0.83,0.63,기쁨
망연,-0.51,-0.43,슬픔
못미덥,-0.55,0.15,혐오
반신반의,-0.54,0.18,흥미
발칙,-0.74,0.34,분노
방긋,0.7,0.64,기쁨
분,-0.73,0.55,분노
분통,-0.83,0.43,분노
뾰루퉁,-0.56,0.3,분노
쇼킹,-0.02,0.45,놀람
스산,-0.48,0.57,공포
심통,-0.78,0.38,분노
쓴웃음,-0.46,-0.2,슬픔
씩씩,-0.63,0.36,분노
아리송,0.43,0.15,흥미
애달,-0.7,-0.28,슬픔
오싹,-0.44,0.73,공포
울부짖,-0.93,-0.25,슬픔
울분,-0.78,-0.53,슬픔
원통,-0.73,-0.4,슬픔
으하하하,0.76,0.38,기쁨
좌절,-0.52,-0.45,슬픔
참담,-0.73,-0.43,슬픔
청승맞,-0.5,-0.15,슬픔
초라,-0.54,-0.43,슬픔
침통,-0.73,-0.4,슬픔
코웃음,-0.48,0.1,혐오
콩닥거리,0.62,0.39,기쁨
한숨짓,-0.54,0.1,슬픔
함박웃음,0.7,0.31,기쁨
해괴,-0.78,0.08,혐오
히죽거,0.64,0.49,기쁨
염려,-0.58,-0.04,슬픔 기타
시덥잖,-0.44,0.13,지루 혐오
신물,-0.74,0.16,혐오 지루
쑥스,0.03,0.34,기쁨 기타
몸서리,-0.85,0.46,공포 혐오
뒤숭숭,-0.3,0.44,슬픔 공포
가증스럽,-0.44,0.18,분노 혐오
갈증,-0.09,0.02,통증 중성
경멸,-0.83,0.33,혐오 분노
고약,-0.48,0.32,혐오 분노
급박,-0.37,0.58,공포 놀람
기고만장,0.38,0.36,기타 기쁨
참혹,-0.7,-0.43,슬픔 공포
학수고대,0.31,0.05,흥미 기쁨
갈등,-0.58,0.23,중성 분노 통증
남부끄럽,-0.75,0.23,혐오 기타 분노
가련하,-0.53,-0.15,슬픔
갈기갈기,-0.64,0.29,분노
감개무량,0.68,0.44,기쁨
경악하,-0.24,0.66,놀람
감회,0.38,-0.24,기쁨
겸연쩍,-0.35,-0.02,기타
경박하,-0.72,0.12,혐오
고리타분,-0.2,-0.53,지루함
구슬프,-0.51,-0.25,슬픔
글썽글썽,-0.51,-0.19,슬픔
기집년,-0.64,0.26,분노
남부럽다,-0.55,-0.08,슬픔
낭패스럽,-0.78,-0.1,슬픔
냉가슴,-0.25,-0.24,중성
넌더리,-0.75,0.18,혐오
달갑잖,-0.61,0.1,혐오
뜨악,-0.09,0.55,놀람
망막,-0.45,-0.53,슬픔
모멸감,-0.65,0.33,분노
미친,-0.8,0.55,분노
비딱,-0.5,0.14,분노
속앓,-0.44,-0.12,슬픔
송구하,-0.45,0.26,슬픔
신명나,0.39,0.49,기쁨
신바람나,0.55,0.21,기쁨
애석,-0.49,-0.18,슬픔
애통,-0.48,-0.33,슬픔
어여쁘,0.39,0.21,기쁨
우라질,-0.7,0.41,분노
울상,-0.68,-0.08,슬픔
원더풀,0.46,0.62,기쁨
을씨년스럽,-0.5,0.51,공포
음울,-0.36,-0.19,슬픔
이힛힛힛,0.66,0.71,기쁨
잔혹,-0.46,0.72,공포
적적,-0.66,-0.04,슬픔
절절,-0.79,-0.15,슬픔
참회,-0.45,-0.08,슬픔
카핫핫핫,0.67,0.65,기쁨
통탄,-0.46,-0.35,슬픔
희희낙락,0.7,0.52,기쁨
가당찮,-0.71,0.29,분노 혐오
골칫거리,-0.58,0.18,분노 혐오
노심초사,-0.43,0.62,공포 슬픔
마땅찮,-0.48,0.2,지루 분노
뼈아프,-0.32,0.18,통증 슬픔
상기되,0.45,0.62,기쁨 흥미
전율,0.26,0.6,놀람 흥미 기쁨
급작,-0.03,0.63,놀람
각성,-0.21,0.68,중성
갈구,0.28,0.23,흥미
갈망,0.35,0.21,흥미
감흥,0.48,0.67,기쁨
감복,0.41,0.55,기쁨
격노,-0.76,0.48,분노
격분,-0.75,0.54,분노
격앙,-0.79,0.54,분노
곤욕,-0.61,0.03,슬픔
기구하,-0.56,-0.03,슬픔
까무러치,0.01,0.65,놀람
끼득끼득,0.53,0.65,기쁨
낙망,-0.71,-0.15,슬픔
네년,-0.85,0.54,분노
네놈,-0.76,0.36,분노
노여워,-0.68,0.46,분노
멋쩍,-0.05,0.35,기타
멸시당하,-0.8,0.33,분노
방그레,0.53,0.6,기쁨
방글방글,0.5,0.58,기쁨
복수,-0.65,0.29,분노
분,-0.64,0.23,분노
불유쾌,-0.65,0.26,분노
비탄,-0.74,-0.25,슬픔
비통,-0.73,-0.29,슬픔
빙그레,0.55,0.62,기쁨
사무치,-0.69,-0.38,슬픔
새파래지,-0.56,0.55,공포
