94,어느 심신미약자가 저 판사 때려 죽였으면 좋겠다.
95,"예전에 봤던 외국영화 ""모범시민""이라는 영화가 떠오릅니다. 내용이 자기가 보는 앞에서 아내와 딸이 성폭행후 살해되었는데 범인들은 심신미약으로 금방 풀려나 거리를 활보하자 치밀하게 계획을세워 범인들을 잔인하게 다 죽이고그당시 판사와 변호사도 다 죽이고 그당시 검사를 이용 복수하는 영화였습니다. 부디 영화에서나 나올수있는 이야기가 되어야 할텐데요"
96,매일 매일 보는게 남자가 사람 죽인 기사다.....
97,여자를 때려죽여도 4년이면 되는군요 이런 정신나간세상에서 무서워서 못살겠네요
98,이쯤되면 나라가 남성의 범죄를 장려하는 수준
99,판사를 뽑는 기준이 바뀌어야 하는건지.... 어떻게 사람을 죽였는데...4년밖에 구형이 안된건지.... 막말로 사람 하나 죽이려 맘 먹고 미리 정신과 몇번가서 생쇼 하고 죽이려는날은 막상 떨리니 술 좀 쳐 먹고 죽이면 되는거구나... 죽인후엔 거짓말 열라 하다가 거짓말이 먹히면 무죄 거짓말이 걸리면 4년 유죄... ㅋㅋ 대단한 대한민국이다... 젠장
100,와.. 한남판사쓰ㄹㅔㄱㅣ놈이 또 이따위 판결을ㄷㄷㄷ 사람을 때려죽였는데도 고작 4년에 치료감호라니.. 2년정도면 나오겠네?!! 정신병이 벼슬이였네. 사람 죽여도 정신병 경력만 있으면 2~3년이면 나오는구나~ 좋은거 배웠다 개쓰ㄹㅔㄱㅣ놈아. 같이 놀 친구도 없어서 ㅊ앉아서 공부하는거 밖에 할일이 없는 것들이 책만 달달 외우고 판사검사 되고나니까 상식적이고 정상적인 사고를 못할 수 밖에ㅉㅉㅉ
101,자신의 딸이었어두 같은형량을 줄까?생명경시는 사법부에서 시작됨ㅋㅋ
102,국민정서에 반하는 판결 좀 줄이자. 제발
103,사람 때려 죽이고 징역 4년 실화임범죄자를 양성하는 나쁜법
104,"정신병이니까 징역이 별 효과 없어서 4년주는거 이해한다. 근데 그런 위험한 사람이면 치료감호로 정말 완치될때까지 격리해야하는거 아니냐? 왜 치료감호가 술만 마시면 꼴랑 2년이 끝인거냐? 사람이 죽을만큼 심각한 정신병이 2년으로 나을것 같냐? 치료감호를 무기한으로 정말 완치될때까지 때리던가, 아니면 징역이라도 오래 살게 해라."
105,주변에 조현병 환자가 얼마나 많은지 아십니까? 판사님 직접 당해보십시요! 미치고 팔짝 뜁니다. 그런데 사람까지 죽였는데..4년!!! 정말 당신의 딸이 당한거라도 징역 4년이라는 기간이 나올까요? 그럼 다시 나와 또 죽이고..죽여도..당한 사람만 억울한 이 사회가 무섭습니다.
106,오 불법촬영은 5년이고 살인이 4년이네?어캐 돌아가는 법이냐?
107,조현병 있으면 사람 죽여도 4년이면 용서받나요?이런 논리라면 조현병 환자들은 사회에서 격리되어야 겠네요살인사건에 심신미약따위의 이해는 필요없다고 생각합니다! 조현병 환자들이 정말 살인도 가능할 정도의 심신미약 상태라면 따로 격리해야하고 그걸 거부하는 사람은 살인미수 급으로 처리해야겠지요어째서 이런 말도 안되는 판례가 자꾸만 생겨나는지 모르겠습니다
108,사람을 죽였는데 4년은 진짜 아니지 않냐
109,죽였는데 왜 4년?? 지도 사형 시켜야지 요즘 사형제도 없으니 무서운게 없어 대한민국ㅡㅡ
110,제발 심신미약 이것 좀 없앱시다.
111,술 겁나 먹은사람이 판사 자식 죽여봤음 좋겠네 과연 심신미약 인정될지 궁금하네 당한사람만 억울하게 만드는 나라 두번죽이는 대단한 나라
112,이켜판사도 정신병있느거아닌가십네요
113,심신미약이딴거 없애라 살인한 놈들한테 무슨 심신미약 흉악범들한테는 감형따위는 사치다 개나줘버려
114,사람이 죽었다고 판사놈아!!
115,동거녀 살인 암매장 한 놈을 징역 3년 내린 판사 새끼도 있다 개 같은 판사 놈 때문에 한사람 죽을 것을 수십 수백이 죽을 수 있지 저런 정신나간 판사 놈을 사형으로 다스려야 한다
116,이로서 심신 미약 받을 수 있는 사람 구해서 10억 정도 주고 4년만 고생하고 나오라고 하면서 사람 죽일 수 있는 길을 대한민국 법원이 열어 주었다. 정신적으로 한두번 문제 있었던 사람중에 현금 10억 줄태니 주고 4년만 고생하고 나오라고 하면 사람 죽여줄사람 전국에 만명도 넘는다. 법원이 살인을 정당화 시켜주는 판결을 내렸구나. 이게 나라냐
117,판사가 맞아 죽어봐야 저승 가서 반성을 하겠냐?
118,44년도 적은데 4년 장난하냐 진짜ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ이게 나라냐고ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
119,죽은 사람만 불쌍한뿐. . 4년뒤나와서 웃으며여자또만나지내겟지 악마들은 사형이답이다 사형제 언능 다시해라 !!!!!! 피해자의 부모가족들은 어찌살아가냐
120,살인자에게는 후한 법을가진 희안한나라
121,야 진짜4년이 말이되냐? 여자 부모님도 그 남자 죽이고 4년만 살고 되는거냐??차리리 그게 낫겠다
122,판사가 심신미약상태 아닌가? 판사 당신네 가족이 죽어도 4년 할껀가요?
123,사람 목숨값이 3~4년 밖에 안됩니까?
124,오늘부터 조현병치료받고 죽이고싶은사람 죽인다 그리고 4년살다나오지뭐
125,판사새끼야 니배 내가술먹고 때려서죽여줄께 나4년주라~조현병잇다고오늘부터 병원도다녀놔야긋네이판사놈아 사람을때려서 죽였다는건술쳐먹엇든 정신이이상자든이미 인면수심인거다판사놈아..옷벗어라
126,판사님 0하나 빼먹었네요.
127,"폭행을 신고한 적이 있다면서요. 우발적이라기보단 상습적이고, 폭력적인 사람이네요. 형이 너무 짧아서 나와서 또 저러지 싶네요. ㅜㅜ"
128,4년뒤에 나와서 술쳐먹고 지나가는 개를 죽일지 애를 죽일지 여자를 죽일지 노인을 죽일지 애미애비를 죽일지...알수는 없지만 또 죽일듯
129,심심미약은 술 취해서 기어다닐 힘도 없을때나 적용돼야한다. 사람을 패죽일 정도의 힘을 행사할 수 있는 상태가 심신미약?? 판사야 지나가는 개가 웃겠다.
130,이영학 딸이 살인을 도왔다는 이유로 6년 받았는데 살인한 사람이 4년이라니.
131,법이 이모양이니 개나소나 술쳐먹거나 심신미약같은 핑계로 빠져나가지
132,조현병이 생각외로 주변에 많아요.근데 그걸 다 심신미약으로 인정 해주면 그건 누굴 보호하고자 하는 법입니까?
133,진짜 어이가없어서 헛웃음나오네 ㅋㅋㅋㅋㅋ 와..4년??? 4년??? ㅋㅋㅋ 와 진짜 나라가 미쳤다 진짜
134,범죄천국 개한민국 사람죽이고도 4년이랜다 이게 나라냐
135,아니 도대체 심신미약은 이나라 종자들만 있는거니?
136,사람죽였는데 4년이냐? 여자는 사람도아니고 가축으로 보니까 이렇지 한국남자랑 만나고 연애하면 이렇게됨
137,"이 나라에서 살기가 무섭다. 적당히 깽판치고 미친척 정신과 진료 정기적으로 받아둬서 나 미쳤소 인증받아두면, 뭔 짓을 해도 다 봐준다는거네? 정신병은 정신병이고 살인은 살인이다. 다들 미쳐서 죽이지. 맨정신에 죽이겠냐? 싹다 정신병 인정해주고. 돌아다니게 함 둬봐라. 매일 곡소리 나는 세상이 될거다. 생각있는 법조인들...제발 좀 이제는 바꿔주세요. 이게 뭡니까? 진짜...."
138,재판하신 판사양반....병원 먼저 가세요.. 심신미약이신듯.ㅠㅠ
139,죽인건 똑같은데 얘는 4년이고 이영학은 사형이냐? 죽음으로 내몰았는데 무슨 차이가있나
140,이야 여자는 목숨걸고 연애해야하네ㅋㅋㅋㅋㅋ 무서워서 연애 하겠나
141,제발 심신미약 좀 없애라!! 정상인은 술먹고 사람 안때리고 안죽인다
142,과연 사망하신 분이 일반 여자가 아닌 판사였어도 똑같은 판결이 나올지 궁금하네요 판사님들은 우리랑 다른 세계에 사셔서 그럴일이 없지요?
145,남자인 살인자가 살기 좋은 나라 한국~
146,판사새기 딸래미가 죽어도 4년 줘라
147,ㅂ ㅅ 들아!! 심신미약이건 뭐건 사람 죽일 정도의 정신병 있는 새끼를 4년후에 풀어 놓겠단 자체가 ..노답이다!! 저 새끼 또 범죄 저지르면 니들은 공범인거야!!!!
